ID	Positive_score	Negative_score	Content
71	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
72	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
73	1	0	RT @MarvelStudios: @spidrlingpeter Ready? Let's go. https://t.co/ny4gIYfpuy #Avengers #InfinityWar #10Days
74	1	0	@MarvelStudios i grew up with the comics then when i was 3, the first spider-man came out and i started loving the… https://t.co/x9CGJRziiV
75	0	0	RT @GSCinemas: Photos from the #InfinityWar fan event! #AvengersMY https://t.co/dbcxaxtSlm
76	0	1	RT @AntManNews: This #InfinityWar wardrobe style display from @marvel_jp seems to tease Ant-Man’s new suit, along with other Avengers costu…
77	0	0	An entire universe. Once and for all #Avengers #InfinityWar
78	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
79	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
80	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
81	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
82	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
83	1	0	destiny arrives - sooner - april 27, 2018.
#Avengers #InfinityWar https://t.co/bSDFP9ACdf
84	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
85	2	0	RT @Guardians: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/GRQn6YfNq3 https…
86	0	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
87	2	0	@MarvelStudios Watched The Avengers with my parents when it came out and that led me to love the MCU! #Avengers #InfinityWar
88	0	0	Spider-Man Takes On Thanos in New #InfinityWar TV Spot
https://t.co/2TBitQqnV4 https://t.co/K9aSgsb2Gf
89	0	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
90	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
91	1	0	RT @RottenTomatoes: Which Avenger do you think tops the Tomatometer? #InfinityWar https://t.co/jq2GEhiP8g
92	4	0	Idk when i was 6 years old the first movie i have ever watched was incredible hulk and i absolutely loved it that’s… https://t.co/oapNnmq0hR
93	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
94	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
95	0	0	My tio brought me and my cousins Iron Man then one thanksgiving my Tia and Tio put on Captain America and mcu has s… https://t.co/yNvrQiA23a
96	0	0	@MarvelStudios I walked into the theater with my dad to watch Iron Man when I was 10 years old and never looked bac… https://t.co/V2Et4y5NOb
97	0	0	@MarvelStudios @CaptainAmerica Started my MCU journey with Captain America: The First Avenger 😎🙏🏻 ...

Captain Amer… https://t.co/pXP475L1yV
98	1	0	RT @DanielMaxtinezz: The best description ever.
#Avengers #InfinityWar #Thanos #TomAndJerry https://t.co/AcAmFG8qno
99	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
100	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
101	0	0	@MarvelStudios @CaptainAmerica I binged them all with my mom in preparation for The Winter Soldier  #avengers #infinitywar
102	0	0	RT @RegalMovies: Check out @theMoviebill exclusive @AVENGERS: #InfinityWar COVER ART! Get your hands on the full edition opening weekend st…
103	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
104	0	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
105	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
106	0	0	@MarvelStudios Here since #IronMan 1 💖💖 #Avengers + #InfinityWar
107	0	0	@MarvelStudios @CaptainAmerica I started my journey in a theater, watching a trailer for what would become to be th… https://t.co/EEWYllG0zr
108	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
109	3	0	@MarvelStudios @Avengers My all time fav #Hulk  n I’m super excited for #IamGroot  ❤️😍🙌
#Avengers + #InfinityWar
110	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
111	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
112	2	0	RT @Iron_Man: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/yhRZaQYVpD https:…
113	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
114	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
115	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
116	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
117	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
118	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
119	0	0	@MarvelStudios @Marvel Long ago I think
#Avengers + #InfinityWar
120	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
121	1	0	RT @CaptainAmerica: It’s all been leading to this. @Avengers: #InfinityWar #IronMan https://t.co/CASAXl5UUE
122	1	0	RT @MarvelStudios: @Jrexman12 Ready? Let's go. https://t.co/cEYu6K2m2n #Avengers #InfinityWar #10Days
123	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
124	1	0	@MarvelStudios For me, it all started with Iron Man back in 2008 but I truly became passionate about it after Cap:… https://t.co/C1dICAiwff
125	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
126	1	0	RT @Marvel: It’s all been leading to this. @Avengers: #InfinityWar #IronMan https://t.co/ScemkA09Uo
127	0	0	RT @WeAreStillCrew: The Crew can’t decide if #RocketRaccoon is the ‘Guardians of the Galaxy’ MVP or not so read our latest and help @Abstra…
128	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
129	2	1	Got my ticket for #AvengersInfinityWar for April 28th so excited #Avengers #Marvel #InfinityWar #MCU #Hype
130	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
131	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
132	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
133	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
134	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
135	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
136	1	0	@MarvelStudios It all started in 2008..when the absolute perfect choice for the role of #IronMan was made..… https://t.co/15AMnW4r9o
137	1	1	@MarvelStudios My journey started with The Winter Soldier ! There I fell in love with Bucky and Cap and how amazing… https://t.co/TNhAkF3HkO
138	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
139	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
140	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
141	0	0	@MarvelStudios @Marvel I watched #ironman when it first came out on dvd and became hooked. Watched all 18 that have… https://t.co/dpYZ3fxUhC
142	0	0	@MarvelStudios @gofooji It all started with #IronMan , then went to #CaptainAmerica ,#Thor etc. And when the Avenge… https://t.co/vDWZNlK0r5
143	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
144	1	0	@MarvelStudios I remember being 14 years old and being excited to see Iron Man because I kinda grew up with (and lo… https://t.co/PcEKBEkzgL
145	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
146	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
147	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
148	0	0	An entire universe. Once and for all #Avengers #InfinityWar @gofooji
149	1	0	@MarvelStudios Watching The Incredible Hulk on DVD that my dad gave me #Avengers #InfinityWar
150	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
151	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
152	0	0	@MarvelStudios @Marvel Started with iron man 10 years ago and now I’m here and I CAN'T WAIT!! 💪🔥😱 #avengers #infinitywar
153	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
154	2	0	@MarvelStudios I first watched the animated series and loved it before that time I didn't liked action movies but n… https://t.co/SFcXBRIqQv
155	1	0	RT @Rick0424: 10 Days Left until @Avengers #InfinityWar Comes Out Pretty Pumped 😎
156	1	0	@MarvelStudios @Avengers I saw a commercial for Iron Man 1 and was hooked into the marvel universe science then! I'… https://t.co/NT1uNNWbTN
157	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
