ID	Positive_score	Negative_score	Content
125	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
126	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
127	0	0	An entire universe. Once and for all #Avengers #InfinityWar
128	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/9Zbhlfc6LZ
129	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
130	0	1	@MarvelStudios Does Blade count? 😏 #Avengers + #InfinityWar
131	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/t3xATUbfP0
132	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
133	0	0	RT @partygirlu2: New tv spot #DoctorStrange #InfinityWar https://t.co/TOa8xxSxNL
134	1	0	#Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
135	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
136	0	0	An entire universe. Once and for all #Avengers #InfinityWar
137	0	0	@MarvelStudios Been watching casually for years but Thor Ragnarok and the first Infinity War trailer really hooked… https://t.co/ghACKrDXya
138	0	0	RT @gofooji: NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a c…
139	0	0	RT @nbstv: Join @sa_brizzy @deejahn as they host @Ugaman01 tonight 8pm on #NBSKonnect
Topics: Community Management and Social media Data.
D…
140	1	0	@gofooji So exciting! #Avengers #InfinityWar
141	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
142	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/FWu0L8OKZJ
143	0	0	RT @nerdist: Where exactly is the Soul Stone? We explain the 10 biggest theories: https://t.co/d7fIJZvi0m #InfinityWar https://t.co/WA3Cp7d…
144	0	0	Textless Infinity War posters!!! 

#InfinityWar https://t.co/Kcitu55B5b
145	0	0	An entire universe. Once and for all #Avengers #InfinityWar
146	4	0	RT @hiddlesbb: This was funny Tom.😅
#TomHiddleston #infinitywar https://t.co/5jLq44FoLy
147	1	0	RT @IGN: These are the essential Marvel films to watch before #Avengers #InfinityWar.

➡️: https://t.co/Q0QsbU9tBK https://t.co/gEVhnh0EX7
148	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
149	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
150	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/azgklnvJ2O
151	2	0	RT @Iron_Man: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/yhRZaQYVpD https:…
152	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
153	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
154	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
155	1	0	RT @IGN: These are the essential Marvel films to watch before #Avengers #InfinityWar.

➡️: https://t.co/Q0QsbU9tBK https://t.co/gEVhnh0EX7
156	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
157	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/NaxVTRmbcb
158	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/yUubGkgN8v
159	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
160	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
161	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
162	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/KFG7lc9mXz
163	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
164	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
165	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
166	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/w91P3qm2Vi
167	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/1Pi5P3sYyo
168	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
169	1	0	RT @IGN: These are the essential Marvel films to watch before #Avengers #InfinityWar.

➡️: https://t.co/Q0QsbU9tBK https://t.co/gEVhnh0EX7
170	0	0	An entire universe. Once and for all #Avengers #InfinityWar
171	0	0	Where will you be on April 26 when the world ends? I know I'll be at the theater from the 26-29. #InfinityWar
